Lectin ID,Lectin name,Lectin link,Uniprot ID,Uniprot link,N/S
172,17 kDa protein,https://sugarbind.expasy.org/lectins/172,,,0
141,18 kDa protein,https://sugarbind.expasy.org/lectins/141,,,0
712,18 kDa protein,https://sugarbind.expasy.org/lectins/712,,,0
179,20-kDa subunits,https://sugarbind.expasy.org/lectins/179,,,0
60,22-kDa protein,https://sugarbind.expasy.org/lectins/60,,,0
108,50 kDa C-terminal fragment,https://sugarbind.expasy.org/lectins/108,P04958,https://www.uniprot.org/uniprot/P04958,0
109,50 kDa N-terminal fragment,https://sugarbind.expasy.org/lectins/109,P04958,https://www.uniprot.org/uniprot/P04958,0
580,68-kDa protein,https://sugarbind.expasy.org/lectins/580,,,0
104,B subunit,https://sugarbind.expasy.org/lectins/104,,,0
628,B subunit,https://sugarbind.expasy.org/lectins/628,,,0
669,B subunit,https://sugarbind.expasy.org/lectins/669,,,0
724,B subunit,https://sugarbind.expasy.org/lectins/724,,,0
670,B subunit,https://sugarbind.expasy.org/lectins/670,,,0
583,BAEBL,https://sugarbind.expasy.org/lectins/583,,,0
68,BOA,https://sugarbind.expasy.org/lectins/68,R4GRU1,https://www.uniprot.org/uniprot/R4GRU1,0
331,BabA,https://sugarbind.expasy.org/lectins/331,,,0
336,BabA,https://sugarbind.expasy.org/lectins/336,,,0
318,BabA,https://sugarbind.expasy.org/lectins/318,,,0
743,BclA,https://sugarbind.expasy.org/lectins/743,B4EH87,https://www.uniprot.org/uniprot/B4EH87,0
178,CS3,https://sugarbind.expasy.org/lectins/178,,,0
753,Capsid protein,https://sugarbind.expasy.org/lectins/753,Q54AD6,https://www.uniprot.org/uniprot/Q54AD6,0
749,Capsid protein VP1,https://sugarbind.expasy.org/lectins/749,P03089,https://www.uniprot.org/uniprot/P03089,0
748,Capsid protein VP1,https://sugarbind.expasy.org/lectins/748,E9NQ90,https://www.uniprot.org/uniprot/E9NQ90,0
196,CfaB,https://sugarbind.expasy.org/lectins/196,,,0
148,Class I G,https://sugarbind.expasy.org/lectins/148,,,0
146,Class I PapG,https://sugarbind.expasy.org/lectins/146,,,0
235,"Class II G, PapG",https://sugarbind.expasy.org/lectins/235,,,0
142,Class II Pap,https://sugarbind.expasy.org/lectins/142,,,0
143,Class II Pap,https://sugarbind.expasy.org/lectins/143,,,0
150,Class II Pap,https://sugarbind.expasy.org/lectins/150,,,0
236,"Class III G, PrsG",https://sugarbind.expasy.org/lectins/236,,,0
147,Class III PrsG,https://sugarbind.expasy.org/lectins/147,,,0
582,EBA-175,https://sugarbind.expasy.org/lectins/582,,,0
584,EBP2,https://sugarbind.expasy.org/lectins/584,,,0
617,Exoenzyme S,https://sugarbind.expasy.org/lectins/617,,,0
615,Exoenzyme S,https://sugarbind.expasy.org/lectins/615,,,0
195,F17a-G fimbrial adhesin,https://sugarbind.expasy.org/lectins/195,Q99003,https://www.uniprot.org/uniprot/Q99003,0
47,FHA,https://sugarbind.expasy.org/lectins/47,Q8VV99,https://www.uniprot.org/uniprot/Q8VV99,0
220,FaeG,https://sugarbind.expasy.org/lectins/220,,,0
747,FedF,https://sugarbind.expasy.org/lectins/747,Q47212,https://www.uniprot.org/uniprot/Q47212,0
746,FedF,https://sugarbind.expasy.org/lectins/746,Q47212,https://www.uniprot.org/uniprot/Q47212,0
126,FedF,https://sugarbind.expasy.org/lectins/126,Q47212,https://www.uniprot.org/uniprot/Q47212,0
752,Fiber,https://sugarbind.expasy.org/lectins/752,Q64822,https://www.uniprot.org/uniprot/Q64822,0
751,Fiber,https://sugarbind.expasy.org/lectins/751,Q64823,https://www.uniprot.org/uniprot/Q64823,0
187,FimH,https://sugarbind.expasy.org/lectins/187,P08191,https://www.uniprot.org/uniprot/P08191,0
648,FimH,https://sugarbind.expasy.org/lectins/648,,,0
199,FimH,https://sugarbind.expasy.org/lectins/199,,,0
484,FimH,https://sugarbind.expasy.org/lectins/484,,,0
184,FimH,https://sugarbind.expasy.org/lectins/184,,,0
183,FimH,https://sugarbind.expasy.org/lectins/183,,,0
238,FocH,https://sugarbind.expasy.org/lectins/238,,,0
144,GafD,https://sugarbind.expasy.org/lectins/144,Q47341,https://www.uniprot.org/uniprot/Q47341,0
360,Gp120,https://sugarbind.expasy.org/lectins/360,P18799,https://www.uniprot.org/uniprot/P18799,0
689,GspB,https://sugarbind.expasy.org/lectins/689,,,0
392,H1,https://sugarbind.expasy.org/lectins/392,,,0
391,H1,https://sugarbind.expasy.org/lectins/391,J9UPN1,https://www.uniprot.org/uniprot/J9UPN1,0
389,H1,https://sugarbind.expasy.org/lectins/389,,,0
374,H1,https://sugarbind.expasy.org/lectins/374,Q9WFX3,https://www.uniprot.org/uniprot/Q9WFX3,0
393,H1,https://sugarbind.expasy.org/lectins/393,A7L6B8,https://www.uniprot.org/uniprot/A7L6B8,0
390,H10,https://sugarbind.expasy.org/lectins/390,,,0
375,H10,https://sugarbind.expasy.org/lectins/375,,,0
395,H2,https://sugarbind.expasy.org/lectins/395,Q20Q42,https://www.uniprot.org/uniprot/Q20Q42,0
397,H2,https://sugarbind.expasy.org/lectins/397,I1Z3V0,https://www.uniprot.org/uniprot/I1Z3V0,0
396,H2,https://sugarbind.expasy.org/lectins/396,I1Z3V0,https://www.uniprot.org/uniprot/I1Z3V0,0
394,H2,https://sugarbind.expasy.org/lectins/394,,,0
400,H3,https://sugarbind.expasy.org/lectins/400,D1LNN7,https://www.uniprot.org/uniprot/D1LNN7,0
399,H3,https://sugarbind.expasy.org/lectins/399,,,0
398,H3,https://sugarbind.expasy.org/lectins/398,P12585,https://www.uniprot.org/uniprot/P12585,0
414,H3,https://sugarbind.expasy.org/lectins/414,F8VAV2,https://www.uniprot.org/uniprot/F8VAV2,0
410,H3,https://sugarbind.expasy.org/lectins/410,,,0
415,H3,https://sugarbind.expasy.org/lectins/415,Q3I3Q8,https://www.uniprot.org/uniprot/Q3I3Q8,0
411,H3,https://sugarbind.expasy.org/lectins/411,,,0
412,H3,https://sugarbind.expasy.org/lectins/412,Q3I3R0,https://www.uniprot.org/uniprot/Q3I3R0,0
413,H3,https://sugarbind.expasy.org/lectins/413,,,0
402,H3,https://sugarbind.expasy.org/lectins/402,Q20MD6,https://www.uniprot.org/uniprot/Q20MD6,0
409,H3,https://sugarbind.expasy.org/lectins/409,,,0
