Glycan,Abbreviation,1d6a,1d10a,1d22a,2d3a,2d15a,2d24a,3d-180a,3d4a,3d11a,4d12a,1d6g,1d10g,1d22g,2d3g,2d15g,2d24g,3d-180g,3d4g,3d11g,4d12g,1d6m,1d10m,1d22m,2d3m,2d15m,2d24m,3d-180m,3d4m,3d11m,4d12m
GL1,KB03_21,446.25,444.25,414.5,613,647.25,633.5,310.25,543.25,487,397.5,31.75,31.75,40.5,205,511.75,310.5,42.75,51,48.5,55.75,39.25,41.5,147.25,409.75,418.5,362,99.75,160.5,140.75,148.75
GL2,KB01_96,476.75,424,635.75,537.25,513.75,534,305,531.25,492,1530.5,29.75,33,47.75,333.75,263.5,260,56.5,1066.5,1239.75,318.25,49.25,53.25,186,222.75,167.5,165.25,131,272,317,2832.25
GL3,KB03_19,448.75,311.25,438.25,672,450.25,544.75,256,474.25,442,421.5,59.75,50.5,75.25,22997.5,11027,11808.5,32,67.5,66,83,48.25,48.5,190.25,527.75,284.75,331,52.5,78.25,71.25,94.5
GL4,KB02_87,398.25,287.25,416,557.25,496.5,594.75,272,494.75,441,351.25,25.75,26.5,34,710.75,531,580.75,45.25,223.75,237.5,38,49.75,44.25,119.25,241.5,181.25,210.5,67.5,119,102.25,62.5
GL5,KB02_110,334.75,327.25,403.75,500,403.5,473,266.25,416,369.5,457,42.25,45,55,11348.25,6271.75,6518.5,38,51.5,50.5,94.25,38.25,45.5,142.5,292,184.75,221.25,59.75,74.25,65.5,407
GL6,KB02_90,357.75,415,393.5,725.5,580,672.75,265.25,500.5,457.5,372.25,32.75,35,40.5,7883,4452,4880.5,39,49,47,50.5,45.75,50.75,115.75,541.5,339.5,376.75,74.75,121.5,103.25,82
GL7,KB03_83,304.75,352.25,369.5,362.5,346.5,341.25,236.75,489,341,352.25,22.75,26.25,35.5,351,209.75,212,44.25,208.75,197.5,41.5,31,38,142.5,173.75,113.75,111.25,71.5,95,89,79
GL8,KB03_42,242,367,402.75,325,307.75,340.75,2157,2841,2440,1354.5,41.25,53.5,61.75,259.75,164.5,159.5,757.75,2454.5,2303,358,32.25,32.75,64.5,91.25,99.5,107,6322.75,8644.75,7416.5,1804.75
GL9,KB03_89,390.5,371.25,320.75,368.5,329.5,369.5,1428.75,1687.5,1839,406.5,25.75,25.5,30.25,2574.75,1950.5,1657.5,451.75,810,877.5,115.75,32.25,31,80.25,178.25,127,129.25,3839.5,4981.5,5294.5,116
GL10,KB03_99,403.5,432.25,346.25,340.75,327,349.5,2400,2451.25,3025,410.75,23.25,22.5,24,6434.5,5047.75,4397.75,1230.25,1331,1232.75,166.5,27.25,30.5,37.75,98.25,80.75,73.75,7080.25,7526.5,7951.25,106.25
